_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;12.0;149.0;21.0;4930.0;528.0;14144.0;189.0;1105.0;alta
AC;ACRE;mesorregiao;12.0;149.0;21.0;4930.0;528.0;14144.0;189.0;1105.0;alta
AC;ALTO JURUA;microrregiao;;;;3014.0;130.0;7029.0;68.0;204.0;alta
AC;CRUZEIRO DO SUL;municipio;;;;994.0;66.0;1759.0;18.0;119.0;alta
AC;FEIJO;municipio;;;;979.0;24.0;1233.0;20.0;49.0;alta
AC;MANCIO LIMA;municipio;323.0;545.0;15.0;;;;;;alta
AC;TARAUACA;municipio;;;;718.0;30.0;3492.0;23.0;21.0;alta
AC;ALTO PURUS;microrregiao;12.0;145.0;20.0;1916.0;398.0;7115.0;121.0;901.0;alta
AC;ASSIS BRASIL;municipio;20.0;67.0;;;;;;;alta
AC;BRASILEIA;municipio;257.0;45.0;406.0;32.0;74.0;;;;alta
AC;MANOEL URBANO;municipio;;;;118.0;26.0;655.0;;90.0;alta
AC;PLACIDO DE CASTRO;municipio;71.0;14.0;573.0;30.0;25.0;;;;alta
AC;SENADOR GUIOMARD;municipio;107.0;41.0;107.0;84.0;171.0;;;;alta
AC;SENA MADUREIRA;municipio;398.0;71.0;3735.0;51.0;40.0;63.0;;;alta
AC;XAPURI;municipio;;32.0;;263.0;43.0;259.0;;31.0;alta
AC;TOTAIS;total;18.0;;2504.0;105.0;2848.0;86.0;;176.0;alta
AC;ACRE;mesorregiao;18.0;;2504.0;105.0;2848.0;86.0;;176.0;alta
AC;ALTO JURUA;microrregiao;;;2128.0;57.0;2267.0;58.0;;17.0;alta
AC;CRUZEIRO DO SUL;municipio;;;1787.0;50.0;542.0;51.0;;;alta
AC;FEIJO;municipio;985.0;;;;;;;;alta
AC;MANCIO LIMA;municipio;237.0;57.0;;;;;;;alta
AC;TARAUACA;municipio;;;101.0;;683.0;;;;alta
AC;ALTO PURUS;microrregiao;14.0;;376.0;48.0;581.0;27.0;;159.0;alta
AC;ASSIS BRASIL;municipio;;;;;;;;;alta
AC;BRASILEIA;municipio;13.0;72.0;121.0;;;;;;alta
AC;MANOEL URBANO;municipio;;;;;;;;;alta
AC;PLACIOO DE CASTRO;municipio;;;;;;;;;alta
AC;SENADOR GUIOMARO;municipio;28.0;21.0;;;;;;;alta
AC;SENA MADUREIRA;municipio;73.0;380.0;;;;;;;alta
AC;XAPURI;municipio;;;85.0;20.0;226.0;;;19.0;alta
AL;TOTAIS;total;56.0;25.0;96.0;19.0;1348.0;1805.0;2442.0;69.0;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;56.0;25.0;92.0;18.0;72.0;1114.0;61.0;1149.0;baixa
AL;SERTÃO ALAGOANO;microrregiao;;;;;129.0;43.0;160.0;11.0;baixa
AL;AGUA BRANCA;municipio;;;;;65.0;;91.0;;baixa
AL;CANAPI;municipio;19.0;32.0;;;;;;;baixa
AL;OELMIRO GOUVEIA;municipio;;;;;11.0;14.0;;;baixa
AL;INHAPI;municipio;15.0;20.0;20.0;23.0;;;;;baixa
AL;MATA GRANDE;municipio;;;;;30.0;;43.0;;baixa
AL;OLHO D' AGUA;municipio;;;;;;;;;baixa
AL;PIRANHAS;municipio;10.0;12.0;;;;;;;baixa
AL;BATALHA;microrregiao;;;;;166.0;265.0;194.0;;baixa
AL;BATALHA;municipio;;;;;16.0;56.0;68.0;;baixa
AL;BELO MONTE;municipio;18.0;15.0;181.0;;;;;;baixa
AL;CARNEIROS;municipio;31.0;15.0;51.0;;;;;;baixa
AL;DOIS RIACHOS;municipio;;;;;;;;;baixa
AL;JACARE DOS HOMENS;municipio;11.0;107.0;;;;;;;baixa
AL;JARAMATAIA;municipio;;;;;;;;;baixa
AL;MARAVILHA;municipio;;;;;;;;;baixa
AL;MONTEIROPOLIS;municipio;29.0;;;;;;;;baixa
AL;OLHO D' AGUA DAS FLORES;municipio;36.0;;;;;;;;baixa
AL;OLIVENÇA;municipio;16.0;24.0;;;;;;;baixa
AL;OURO BRANCO;municipio;20.0;26.0;26.0;11.0;;;;;baixa
AL;PALESTINA;municipio;12.0;11.0;;;;;;;baixa
AL;PÃO OE AÇUCAR;municipio;;;;;;20.0;;;baixa
AL;POÇO DAS TRINCHEIRAS;municipio;;;;;12.0;;19.0;;baixa
AL;SANTANA DO IPANEMA;municipio;;;;;10.0;;;;baixa
AL;SÃO JOSE DA TA PERA;municipio;;;;;15.0;;;;baixa
AL;SENADOR RUI PALMEIRA;municipio;12.0;;;;;;;;baixa
AL;PALMEIRA DOS INDIOS;microrregiao;55.0;24.0;411.0;12.0;106.0;124.0;708.0;11.0;baixa
AL;CACIMBINHAS;municipio;10.0;15.0;40.0;54.0;;;;;baixa
AL;IGACI;municipio;45.0;41.0;11.0;18.0;17.0;327.0;77.0;;baixa
AL;MARIBONOO;municipio;;;;;;12.0;;;baixa
AL;MAR VERMELHO;municipio;;;;;;;;;baixa
AL;MINADOR DO NEGRÃO;municipio;12.0;37.0;;;;;;;baixa
AL;PALMEIRA DOS INOIOS;municipio;;;;;25.0;34.0;244.0;;baixa
AL;PAULO JACINTO;municipio;10.0;11.0;;;;;;;baixa
AL;OUEBRANGULO;municipio;22.0;43.0;82.0;;;;;;baixa
AL;TANQUE O' ARCA;municipio;;;;;17.0;;23.0;;baixa
AL;ARAPIRACA;microrregiao;;;44.0;;667.0;673.0;1033.0;29.0;baixa
AL;ANADIA;municipio;17.0;49.0;28.0;146.0;;;;;baixa
AL;ARAPIRACA;municipio;33.0;127.0;380.0;43.0;67.0;361.0;;;baixa
AL;CAMF'O GRANDE;municipio;14.0;15.0;77.0;;;;;;baixa
AL;COITE;municipio;50.0;34.0;28.0;12.0;39.0;;;;baixa
AL;CRAIBAS;municipio;;;;;14.0;29.0;;;baixa
AL;FEIRA GRANDE;municipio;;;;;51.0;75.0;142.0;;baixa
AL;GlRAU DO PONCIANO;municipio;17.0;55.0;37.0;24.0;308.0;;;;baixa
AL;JUNQUEIRO;municipio;;;;;92.0;;238.0;;baixa
AL;LAGOA DA CANOA;municipio;;;;;;;;;baixa
AL;LIMOEIRO DE ANADIA;municipio;;;;;145.0;33.0;146.0;;baixa
AL;OLHO;municipio;;;;;;;56.0;;baixa
AL;TOTAIS;total;;233.0;909.0;5909.0;58768.0;;;;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;119.0;428.0;24.0;118.0;286.0;30.0;8317.0;;baixa
AL;SERTÃO ALAGOANO;microrregiao;;;33.0;522.0;724.0;;;;baixa
AL;AGUA BRANCA;municipio;;;15.0;361.0;213.0;;;;baixa
AL;CANAPI;municipio;;;11.0;52.0;81.0;;;;baixa
AL;DELMIRO GOUVEIA;municipio;344.0;;;;;;;;baixa
AL;INHAPI;municipio;;;;;;;;;baixa
AL;MATA GRANDE;municipio;51.0;;;;;;;;baixa
AL;OLHO O'AGUA Do CASACO zz;municipio;;;;;;;;;baixa
AL;PIRANHAS;municipio;;;;;;;;;baixa
AL;BATALHA;microrregiao;28.0;98.0;514.0;;;;;;baixa
AL;BATALHA;municipio;;;;65.0;263.0;;;;baixa
AL;BELO MONTE;municipio;169.0;;;;;;;;baixa
AL;CARNEIROS;municipio;;;;;;;;;baixa
AL;DOIS RIACHOS;municipio;;;;18.0;21.0;;;;baixa
AL;jACARE DOS HOMENS;municipio;;;;18.0;126.0;;;;baixa
AL;JARAMATAIA;municipio;;;;17.0;51.0;;;;baixa
