_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;224.0;203.0;21845.0;13794.0;1881.0;2366.0;alta
AC;ACRE;mesorregiao;224.0;203.0;21845.0;13794.0;1881.0;2366.0;alta
AC;ALTO JURUA;microrregiao;84.0;139.0;9203.0;4634.0;1596.0;1847.0;alta
AC;CRUZEIRO DO SUL;municipio;;;3793.0;1773.0;112.0;36.0;alta
AC;FEIJO;municipio;1538.0;1076.0;1385.0;;;;alta
AC;MANCIO LIMA;municipio;;;502.0;188.0;29.0;;alta
AC;T ARAUACA;municipio;84.0;139.0;3370.0;1595.0;70.0;89.0;alta
AC;ALTO PURUS;microrregiao;140.0;64.0;12642.0;9160.0;285.0;519.0;alta
AC;ASSIS BRASIL;municipio;49.0;34.0;70.0;33.0;17.0;29.0;alta
AC;BRASILEIA;municipio;77.0;23.0;1411.0;945.0;121.0;237.0;alta
AC;MANOEL URBANO;municipio;;;625.0;476.0;;16.0;alta
AC;PLACIDO DE CASTRO;municipio;;;2315.0;1905.0;18.0;24.0;alta
AC;SENADOR GUIOMARD;municipio;;;1322.0;840.0;23.0;;alta
AC;SENA MADUREIRA;municipio;3424.0;2124.0;24.0;30.0;;;alta
AC;XAPURI;municipio;;;1308.0;1209.0;;25.0;alta
AC;TOTAIS;total;7595.0;;25943.0;548.0;;;alta
AC;ACRE;mesorregiao;7595.0;;25943.0;548.0;;;alta
AC;ALTO JURUA;microrregiao;;;12986.0;186.0;;;alta
AC;CRUZEIRO DO SUL;municipio;;;6048.0;83.0;;;alta
AC;FEIJO;municipio;;;1622.0;31.0;;;alta
AC;MANCIO LIMA;municipio;;;1013.0;15.0;;;alta
AC;TARAUACA;municipio;;;4303.0;56.0;;;alta
AC;ALTO PURUS;microrregiao;7592.0;;12957.0;362.0;;;alta
AC;ASSIS BRASIL;municipio;;;115.0;;;;alta
AC;BRASILEIA;municipio;875.0;;1799.0;32.0;;;alta
AC;MANOEL URBANO;municipio;;;118.0;15.0;;;alta
AC;PLACIDO DE CASTRO;municipio;2872.0;;2915.0;26.0;;;alta
AC;SENADOR GUIOMARD;municipio;1152.0;;622.0;25.0;;;alta
AC;SENA MADUREIRA;municipio;240.0;;4242.0;185.0;;;alta
AC;XAPUR I;municipio;895.0;;1507.0;25.0;;;alta
AC;TOTAIS;total;1383.0;159.0;23.0;1154.0;;;alta
AC;ACRE;mesorregiao;;159.0;;1154.0;;;alta
AC;ALTO JURUA;microrregiao;;100.0;;1154.0;;;alta
AC;CRUZE l RO;municipio;1315.0;55.0;94.0;;;;alta
AC;FEIJO;municipio;;33.0;;;;;alta
AC;MANCIO LIMA;municipio;;;;60.0;;68.0;alta
AC;TARAUACA;municipio;;12.0;;;;;alta
AC;ALTO PURUS;microrregiao;;59.0;;;;;alta
AC;BRASILEIA;municipio;;;;;;;alta
AC;MANOEL URBANO;municipio;;;;;;;alta
AC;PLACIDO DE CASTRO;municipio;17.0;;;;;;alta
