_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
ES;TOTAIS;total;6391.0;6466.0;424.0;1230.0;1648.0;2143.0;media
ES;ESPIRITO-SANTENSE;microrregiao;5800.0;215.0;290.0;1149.0;1551.0;2093.0;media
ES;ALTO SÂO MATEUS;microrregiao;50.0;60.0;;;;22.0;media
ES;ECOPORANGA;municipio;;;;;;;media
ES;MONTANHA;municipio;;;;;;;media
ES;MUCURICI;municipio;50.0;60.0;;;;22.0;media
ES;COLATINA;microrregiao;566.0;66.0;;;;49.0;media
ES;BAIXO GUANDU;municipio;;;;;;;media
ES;BARRA DE SÃO FRANCISCO;municipio;28.0;;;;;;media
ES;BOA ESPERANÇA;municipio;;;;;;;media
ES;COLATINA;municipio;;105.0;15.0;;;41.0;media
ES;MANTENOPOL IS;municipio;;;;;;;media
ES;MARILANDIA;municipio;;;;;;;media
ES;NOVA VENECIA;municipio;379.0;316.0;56.0;;;;media
ES;PANCAS;municipio;10.0;;;;;;media
ES;SÃO GABRIEL DA PALHA;municipio;57.0;25.0;;;;;media
ES;BAIXADA ESPIRITO-SANTENSE;municipio;86.0;;;;;;media
ES;ARACRUZ;municipio;6.0;19.0;;;;;media
ES;CONCE;municipio;10.0;;;;;;media
ES;FUNDÃO;municipio;;;;;;;media
ES;JAGUARE;municipio;;;;;;;media
ES;UNHARES;municipio;;;;;;;media
ES;PEDRO CANAR I;municipio;12.0;;;;;;media
ES;PINHEIROS;municipio;;;;;;;media
ES;RIO BANANAL;municipio;;;;;;;media
ES;SÂO MATEUS;municipio;18.0;12.0;3.0;;;9.0;media
ES;COL. SERRANA ESPIRITO-SANTENSE;municipio;1917.0;1990.0;604.0;;;476.0;media
ES;AFONSO CLAUDIO;municipio;158.0;205.0;35.0;;;91.0;media
ES;ALFREDO CHAVES;municipio;41.0;3.0;;;;12.0;media
ES;DOMINGOS MARTINS;municipio;998.0;893.0;198.0;;;215.0;media
ES;IBIRAÇU;municipio;;;;;;;media
ES;ITAGUAÇU;municipio;80.0;113.0;60.0;;;27.0;media
ES;ITARANA;municipio;70.0;46.0;16.0;;;;media
ES;SANTA LEOPOLDINA;municipio;486.0;666.0;280.0;;;125.0;media
ES;SANTA TERESA;municipio;80.0;20.0;7.0;;;2.0;media
