_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
AC;TOTAIS;total;35049.0;950.0;723.0;43.0;201.0;alta
AC;ACRE;mesorregiao;35049.0;950.0;723.0;43.0;201.0;alta
AC;ALTO JURUA;microrregiao;13909.0;699.0;637.0;16.0;55.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;317.0;278.0;;41.0;alta
AC;FEIJO;municipio;2045.0;86.0;66.0;13.0;12.0;alta
AC;MANCIO LIMA;municipio;1093.0;24.0;23.0;;;alta
AC;TARAUACA;municipio;4328.0;272.0;270.0;;;alta
AC;ALTO PURUS;microrregiao;21140.0;251.0;86.0;27.0;146.0;alta
AC;ASSIS BRASIL;municipio;167.0;;;;;alta
AC;BRASILEIA;municipio;2482.0;20.0;15.0;;;alta
AC;MANOEL URBANO;municipio;735.0;19.0;16.0;;;alta
AC;PLACIOO DE CASTRO;municipio;3545.0;31.0;20.0;;11.0;alta
AC;SENADOR GUIOMARO;municipio;2264.0;;;;;alta
AC;SENA MADUREIRA;municipio;4401.0;105.0;;;93.0;alta
AC;XAPURI;municipio;1868.0;18.0;;;;alta
AL;TOTAIS;total;142774.0;2719.0;2349.0;458.0;;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;2480.0;2152.0;406.0;;media
AL;SEPTÃO ALAGOANO;microrregiao;26625.0;516.0;483.0;55.0;;media
AL;AGUA BRANCA e;municipio;169.0;166.0;;;;media
AL;CANAPI;municipio;4277.0;49.0;49.0;;;media
AL;DELMIRO GOUVEIA;municipio;1041.0;;;;;media
AL;INHAPI;municipio;5285.0;24.0;24.0;;;media
AL;MATA GRANDE;municipio;5613.0;260.0;236.0;41.0;;media
AL;OLHO O' AGUA DO CASADO;municipio;910.0;;;;;media
AL;PIRANHAS;municipio;1137.0;;;;;media
AL;BATALHA;microrregiao;26616.0;419.0;324.0;5.0;;media
AL;BATALHA;municipio;408.0;19.0;;17.0;;media
AL;BELO MONTE;municipio;778.0;28.0;21.0;;;media
AL;CARNEIROS;municipio;962.0;;;;;media
AL;DOIS RIACHOS;municipio;1308.0;;;;;media
AL;.JACARE DOS HOMENS;municipio;201.0;12.0;;;;media
AL;.JARAMATAIA;municipio;151.0;17.0;12.0;10.0;;media
AL;MA JOR ISIDORO;municipio;2115.0;127.0;118.0;21.0;;media
AL;MARAVILHA;municipio;2044.0;;;;;media
AL;MONTEIROPOLIS;municipio;562.0;;;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;1231.0;;;;;media
AL;OLIVENÇA;municipio;1867.0;40.0;40.0;;;media
